District Code,Tehsil Code,Village Code,Village Name
162,00841,148107,चडरौआ बिधूना
162,00841,148280,चन्दपुरा
162,00841,148143,चन्दरपुरशहरी
162,00841,148314,चन्दैया
162,00841,148096,चन्दौली
162,00841,148260,चांदपुर गढि़या
162,00841,148205,चांदो
162,00841,148056,चिकटा
162,00841,148262,चिमकुनी
162,00841,148217,चिरौली 1/3
162,00841,148218,चिरौली 2/3
162,00841,148256,छछूंद
162,00841,148071,जगतपुर
162,00841,148223,जमालपुर
162,00841,148013,जयसिंह पुर कनक
162,00841,148180,जरावन
162,00841,148339,जलालपुर फफूंद
162,00841,148221,जलालपुर विधूना
162,00841,148081,जसवन्तपुर
162,00841,148080,जागीर बक्शराय
162,00841,148359,जीवा सिरसानी
162,00841,148231,जौहर
162,00841,148040,झुण्डाहार (गैर आबाद)
162,00841,148364,टिढुआ
162,00841,148378,ठाकुरगांव
162,00841,217862,डमरपुर
162,00841,148199,डोड़ापुर
162,00841,148404,ढरकन
162,00841,148438,ढिकियापुर
162,00841,148387,ताजपुर छोंक
162,00841,148177,ताजपुर बिधूना
162,00841,148318,तिलकपुर सरमेंड़ी
162,00841,148352,तिलकपुर सहार
162,00841,148252,तुरकपुर
162,00841,148019,तुरकपुर यासीन
162,00841,148042,तुर्कपुर बक्सराय
162,00841,148257,तेहराजपुर
162,00841,148417,तैयापुर
162,00841,148374,थुलपिया उर्फ धुपकरी
162,00841,148338,दखनाई
162,00841,148326,ददूसराय
162,00841,148298,दशहरा
162,00841,148198,दहनानाग (गैर आबाद)
162,00841,148412,दिनवांमऊ
162,00841,148319,दिवरांव
162,00841,148266,दिवरिया
162,00841,148430,दिवरी
162,00841,148023,दीनपुर चंदन (
162,00841,148033,दीनपुर  धर्मजीत
162,00841,148043,दोवा माफी
162,00841,148126,धनवाली
162,00841,148244,धमसरी
